,STATE,CountyNo,BelowUni,AboveUni
265,PA,41,38.821250915527344,61.17874717712402
266,GA,135,34.62810707092285,65.37189483642578
267,ME,23,35.93395519256592,64.06604385375977
268,NY,103,35.999037742614746,64.00096130371094
269,VA,810,26.73239231109619,73.26760864257812
270,MO,510,35.43738651275635,64.56261253356934
271,CA,55,31.991917610168457,68.0080795288086
272,OR,17,27.799654483795166,72.20034408569336
273,FL,99,35.175588607788086,64.82441329956055
274,MA,27,36.08898067474365,63.91101837158203
275,NJ,39,41.09129047393799,58.908708572387695
276,NH,3,32.490073680877686,67.50992965698242
277,MD,13,35.61653280258179,64.38346862792969
278,GA,57,31.304621696472168,68.69537734985352
279,MD,25,32.945648193359375,67.05435180664062
280,MI,81,32.81624698638916,67.18375396728516
281,MN,0,30.86254119873047,69.13745880126953
282,KY,239,36.81228828430176,63.18771171569824
283,WI,109,27.85955023765564,72.14044952392578
284,WA,0,30.099247932434082,69.90074920654297
285,VA,61,32.386807441711426,67.61319160461426
286,DE,3,38.28681659698486,61.71318244934082
287,SD,83,30.138855457305908,69.86114501953125
288,SD,65,32.06244897842407,67.93755340576172
289,LA,33,36.121214866638184,63.87878608703613
290,NC,81,33.92354202270508,66.07645988464355
291,NJ,37,34.96937370300293,65.03062629699707
292,AK,20,29.734591960906982,70.26540756225586
293,IL,133,30.478177070617676,69.52182006835938
294,ND,15,27.98963689804077,72.01036071777344
295,UT,35,30.83283042907715,69.16716766357422
296,MI,93,30.572686195373535,69.42731475830078
297,IA,101,33.510075092315674,66.48992347717285
298,MD,35,35.77219867706299,64.22780227661133
299,GA,73,31.356031894683838,68.64397048950195
300,CA,97,29.101774215698242,70.89822387695312
301,AL,81,31.94079303741455,68.05920600891113
302,FL,115,34.46134281158447,65.53865814208984
303,NY,27,35.232420921325684,64.76758003234863
304,SC,45,34.4498929977417,65.55010604858398
305,MD,29,41.930152893066406,58.06984519958496
306,NJ,13,41.233882904052734,58.766117095947266
307,ND,35,26.49539804458618,73.50460052490234
308,MI,83,33.801170110702515,66.1988296508789
309,NY,67,34.17113971710205,65.82885932922363
310,ME,15,39.257774353027344,60.74222373962402
311,WI,63,29.576576232910156,70.42342376708984
312,CA,79,28.08699607849121,71.91300201416016
313,NC,179,34.026540756225586,65.97345733642578
314,CT,9,39.72377300262451,60.27622413635254
315,VA,161,33.94324207305908,66.0567569732666
316,VA,680,35.73238182067871,64.26761817932129
317,FL,21,38.02392864227295,61.976070404052734
318,IL,93,30.990975856781006,69.0090217590332
319,CT,5,35.94984292984009,64.05015754699707
320,PR,139,39.34916400909424,60.65083885192871
321,NY,69,32.96521043777466,67.03478813171387
322,NH,13,35.3277325630188,64.67226600646973
323,WA,67,27.90770673751831,72.09229278564453
324,HI,3,33.29470491409302,66.70529556274414
325,VA,65,31.360646724700928,68.63935089111328
326,MO,51,36.85415029525757,63.14584922790527
327,OH,159,37.9289231300354,62.07107925415039
328,IL,77,31.680187702178955,68.31980895996094
329,CO,15,32.47070550918579,67.52929306030273
330,IL,0,35.90255165100098,64.09744834899902
331,CO,119,27.76131820678711,72.23868179321289
332,VA,99,34.4093279838562,65.59067153930664
333,FL,95,35.44159126281738,64.55840873718262
334,MA,3,36.989492416381836,63.010507583618164
335,WA,73,29.5250244140625,70.4749755859375
336,NM,1,32.93065643310547,67.06934356689453
337,FL,87,35.68509006500244,64.31491088867188
338,VA,660,42.57595634460449,57.424041748046875
339,CA,17,27.03874444961548,72.96125793457031
340,IL,111,32.54875040054321,67.45125198364258
341,MT,43,32.54221820831299,67.45777893066406
342,NH,17,34.207398891448975,65.79259872436523
343,ME,9,36.849244117736816,63.1507568359375
344,AR,119,34.687838554382324,65.31216049194336
345,LA,61,38.96744632720947,61.032554626464844
