,CountyNo,"NativeAmerican (AmericanIndianAlaskaNative, NativeHawaianPacific)","Asian (EastAsian,SouthAsian)",Black, White, Mixed,OtherUnknown,STATE,HHI
282,73,99,47,275,4397,364,493,CO,0.6146997302489859
283,75,254,128,765,17261,1502,1618,CO,0.654825852439577
284,77,1931,1676,1151,127970,15154,7821,CO,0.6878151803658851
285,79,6,3,3,789,64,0,CO,0.8375435196632031
286,81,157,54,77,10872,1343,789,CO,0.6829404376558605
287,83,3370,143,80,18958,2203,1095,CO,0.5639901450886657
288,85,613,338,181,33395,4282,3870,CO,0.6308334282932276
289,87,415,157,975,19184,3958,4422,CO,0.4771880934835353
290,89,404,101,165,12847,2817,2356,CO,0.5116634360683633
291,91,20,28,16,4396,321,93,CO,0.8182373910353801
292,93,176,104,94,15318,1363,335,CO,0.7825802803525389
293,95,54,22,19,3500,455,480,CO,0.6184517248268837
294,97,90,290,106,14797,1239,836,CO,0.7344458730530263
295,99,281,31,109,8131,1531,1916,CO,0.5016112442239592
296,101,4075,1730,3642,108805,29684,20226,CO,0.4654292512143082
297,103,60,22,34,5699,450,264,CO,0.768418860340593
298,105,297,42,61,8093,1714,1332,CO,0.5279995787561171
299,107,154,176,156,21726,1825,792,CO,0.7722173940971357
300,109,194,63,20,4209,1297,585,CO,0.4878279983460014
301,111,6,2,3,606,77,11,CO,0.7511392787083145
302,113,94,55,21,6922,585,395,CO,0.7431971891234587
303,115,20,12,5,2062,184,121,CO,0.744203019925194
304,117,285,418,247,24751,2626,2728,CO,0.6504130520219799
305,119,194,212,135,21566,2205,398,CO,0.7701045441569803
306,121,34,19,32,4230,344,158,CO,0.7774150258178846
307,123,4639,5857,4539,231892,45285,36769,CO,0.5290013111891336
308,125,79,34,22,7437,1051,1365,CO,0.5842481141566918
309,1,4716,51341,106756,584184,102835,107587,CT,0.41179889601204434
310,3,3473,53844,127194,554184,80373,80430,CT,0.419156673984511
311,5,578,3486,3348,158774,13005,5995,CT,0.7417640510135904
312,7,442,4987,8565,134715,11347,4189,CT,0.6818124160268371
313,9,4528,37520,118933,543831,82363,77660,CT,0.4333775313851189
314,11,2743,10814,16026,201548,24214,13210,CT,0.5790721315245706
315,13,331,8465,5450,122869,9221,3452,CT,0.6817123938385024
316,15,838,1998,2403,95023,9546,6610,CT,0.67693908146048
317,1,1274,4429,46998,107685,15807,5658,DE,0.4266125118938141
318,3,2331,35200,146544,314231,43699,28714,DE,0.38129303629191635
