,STATE,CountyNo,year,Unemployment
2683,AR,13,2017,3.9
2684,AR,13,2018,3.8
2685,AR,13,2019,4.3
2686,AR,13,2020,5.3
2687,AR,13,2021,3.3
2703,AR,15,2015,4.5
2704,AR,15,2016,3.6
2705,AR,15,2017,3.4
2706,AR,15,2018,3.2
2707,AR,15,2019,3.0
2708,AR,15,2020,5.7
2709,AR,15,2021,3.4
2725,AR,17,2015,9.0
2726,AR,17,2016,6.6
2727,AR,17,2017,6.6
2728,AR,17,2018,6.7
2729,AR,17,2019,6.8
2730,AR,17,2020,10.5
2731,AR,17,2021,8.6
2747,AR,19,2015,5.4
2748,AR,19,2016,4.3
2749,AR,19,2017,3.9
2750,AR,19,2018,3.6
2751,AR,19,2019,3.7
2752,AR,19,2020,6.0
2753,AR,19,2021,4.7
2769,AR,21,2015,6.5
2770,AR,21,2016,5.7
2771,AR,21,2017,4.6
2772,AR,21,2018,4.3
2773,AR,21,2019,4.8
2774,AR,21,2020,6.1
2775,AR,21,2021,4.0
2791,AR,23,2015,6.8
2792,AR,23,2016,5.9
2793,AR,23,2017,5.0
2794,AR,23,2018,4.5
2795,AR,23,2019,4.4
2796,AR,23,2020,7.6
2797,AR,23,2021,4.6
2813,AR,25,2015,5.5
2814,AR,25,2016,4.5
2815,AR,25,2017,4.4
2816,AR,25,2018,3.8
2817,AR,25,2019,3.8
2818,AR,25,2020,6.1
2819,AR,25,2021,4.0
2835,AR,27,2015,6.4
2836,AR,27,2016,5.7
2837,AR,27,2017,5.1
2838,AR,27,2018,4.7
2839,AR,27,2019,4.3
2840,AR,27,2020,6.9
2841,AR,27,2021,5.3
2857,AR,29,2015,6.0
2858,AR,29,2016,5.7
2859,AR,29,2017,4.8
2860,AR,29,2018,4.3
2861,AR,29,2019,4.2
2862,AR,29,2020,6.1
2863,AR,29,2021,4.2
2879,AR,31,2015,4.4
2880,AR,31,2016,3.3
2881,AR,31,2017,3.0
2882,AR,31,2018,3.0
2883,AR,31,2019,2.7
2884,AR,31,2020,5.3
2885,AR,31,2021,3.3
